strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3974.11,21.0,3319.06,86.42,200.0,0.0
random,0.05,201,3797.87,55.69,3160.11,100.15,200.0,0.0
random,0.1,403,3581.92,51.99,2953.87,108.82,200.0,0.0
random,0.15,605,3351.75,95.65,2757.8,112.13,200.0,0.0
random,0.2,807,3144.5,71.61,2556.24,115.99,200.0,0.0
degree,0.01,40,3890.34,19.97,3062.23,88.15,200.0,0.0
degree,0.05,201,3717.03,17.34,2910.08,84.01,200.0,0.0
degree,0.1,403,3502.23,33.58,2681.63,90.97,200.0,0.0
degree,0.15,605,2997.47,206.43,2287.96,178.54,200.0,0.0
degree,0.2,807,2800.37,187.61,2113.42,156.71,200.0,0.0
betweenness,0.01,40,2961.31,458.74,2358.51,359.23,200.0,0.0
betweenness,0.05,201,2275.27,537.03,1753.58,416.51,200.0,0.0
betweenness,0.1,403,2043.07,499.18,1559.74,375.98,200.0,0.0
betweenness,0.15,605,1776.45,439.8,1398.1,356.68,200.0,0.0
betweenness,0.2,807,1578.22,399.86,1201.47,307.53,200.0,0.0
community_bridge,0.01,40,3916.21,83.46,3158.78,134.92,200.0,0.0
community_bridge,0.05,201,2827.87,592.98,2081.07,423.16,200.0,0.0
community_bridge,0.1,403,2240.56,508.38,1659.64,355.75,200.0,0.0
community_bridge,0.15,605,1646.41,408.48,1254.67,311.67,200.0,0.0
community_bridge,0.2,807,1455.98,361.39,1124.96,276.82,200.0,0.0
