strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3965.08,25.22,3200.44,80.61,200.0,0.0
random,0.05,201,3789.11,48.7,3038.71,91.51,200.0,0.0
random,0.1,403,3563.58,74.72,2838.88,98.6,200.0,0.0
random,0.15,605,3345.44,86.58,2646.28,105.89,200.0,0.0
random,0.2,807,3128.46,92.2,2455.41,111.9,200.0,0.0
degree,0.01,40,3869.57,19.97,2933.23,86.23,200.0,0.0
degree,0.05,201,3687.16,44.7,2771.03,81.71,200.0,0.0
degree,0.1,403,3476.73,30.36,2536.39,87.25,200.0,0.0
degree,0.15,605,2975.7,209.02,2169.65,179.86,200.0,0.0
degree,0.2,807,2780.7,188.68,2002.05,154.69,200.0,0.0
betweenness,0.01,40,2904.31,465.22,2244.91,359.26,200.0,0.0
betweenness,0.05,201,2258.73,522.96,1655.74,381.19,200.0,0.0
betweenness,0.1,403,1991.3,493.0,1458.15,361.79,200.0,0.0
betweenness,0.15,605,1794.43,447.68,1331.49,347.31,200.0,0.0
betweenness,0.2,807,1557.45,393.05,1121.34,292.56,200.0,0.0
community_bridge,0.01,40,3896.14,100.76,3026.16,133.07,200.0,0.0
community_bridge,0.05,201,2809.2,588.04,1959.47,402.92,200.0,0.0
community_bridge,0.1,403,2182.23,502.78,1540.36,342.07,200.0,0.0
community_bridge,0.15,605,1645.58,404.49,1191.22,289.89,200.0,0.0
community_bridge,0.2,807,1446.12,345.62,1050.7,250.6,200.0,0.0
stratified,0.01,40,3812.36,40.99,2854.03,85.94,200.0,0.0
stratified,0.05,201,3449.8,87.78,2511.53,139.26,200.0,0.0
stratified,0.1,403,3239.01,122.98,2196.89,147.7,200.0,0.0
stratified,0.15,605,2808.64,216.1,1949.78,122.87,200.0,0.0
stratified,0.2,807,2299.64,370.57,1535.38,247.08,200.0,0.0
