strategy,budget,run_id,total_infected,peak_infected,duration
random,0.01,0,3979,3154,200
random,0.01,1,3988,3271,200
random,0.01,2,3969,3134,200
random,0.01,3,3898,3084,200
random,0.01,4,3976,3159,200
random,0.01,5,3992,3145,200
random,0.01,6,3963,3303,200
random,0.01,7,3968,3227,200
random,0.01,8,3961,3112,200
random,0.01,9,3951,3260,200
random,0.01,10,3977,3186,200
random,0.01,11,3964,3252,200
random,0.01,12,3970,3127,200
random,0.01,13,3991,3261,200
random,0.01,14,3974,3229,200
random,0.01,15,3987,3166,200
random,0.01,16,3958,3069,200
random,0.01,17,3952,3117,200
random,0.01,18,3974,3331,200
random,0.01,19,3967,3279,200
random,0.01,20,3944,3148,200
random,0.01,21,3932,3020,200
random,0.01,22,3979,3284,200
random,0.01,23,3968,3098,200
random,0.01,24,3962,3235,200
random,0.01,25,3957,3270,200
random,0.01,26,3963,3216,200
random,0.01,27,3974,3243,200
random,0.01,28,3971,3312,200
random,0.01,29,3981,3141,200
random,0.01,30,3989,3292,200
random,0.01,31,3980,3259,200
random,0.01,32,3979,3222,200
random,0.01,33,3957,3165,200
random,0.01,34,3976,3172,200
random,0.01,35,3971,3261,200
random,0.01,36,3957,3136,200
random,0.01,37,3961,3207,200
random,0.01,38,3945,3142,200
random,0.01,39,3986,3210,200
random,0.01,40,3979,3221,200
random,0.01,41,3975,3230,200
random,0.01,42,3959,3262,200
random,0.01,43,3915,3341,200
random,0.01,44,3975,3198,200
random,0.01,45,3893,3113,200
random,0.01,46,3975,3217,200
random,0.01,47,3981,3074,200
random,0.01,48,3973,3247,200
random,0.01,49,3950,3167,200
random,0.01,50,3984,3240,200
random,0.01,51,3958,3249,200
random,0.01,52,3960,3255,200
random,0.01,53,3978,3283,200
random,0.01,54,3986,3274,200
random,0.01,55,3974,3123,200
random,0.01,56,3937,3239,200
random,0.01,57,3987,3122,200
random,0.01,58,3954,3247,200
random,0.01,59,3977,3236,200
random,0.01,60,3914,3013,200
random,0.01,61,3975,3271,200
random,0.01,62,3991,3223,200
random,0.01,63,3988,3225,200
random,0.01,64,3988,3253,200
random,0.01,65,3898,3116,200
random,0.01,66,3991,3307,200
random,0.01,67,3959,3181,200
random,0.01,68,3965,3110,200
random,0.01,69,3937,3250,200
random,0.01,70,3947,3251,200
random,0.01,71,3934,3236,200
random,0.01,72,3969,3142,200
random,0.01,73,3973,3149,200
random,0.01,74,3926,3244,200
random,0.01,75,3973,3271,200
random,0.01,76,3989,3219,200
random,0.01,77,3959,3148,200
random,0.01,78,3979,3322,200
random,0.01,79,3963,3130,200
random,0.01,80,3967,3100,200
random,0.01,81,3905,2999,200
random,0.01,82,3981,3253,200
random,0.01,83,3978,3244,200
random,0.01,84,3972,3190,200
random,0.01,85,3932,3053,200
random,0.01,86,3975,3336,200
random,0.01,87,3963,3203,200
random,0.01,88,3985,3190,200
random,0.01,89,3937,3179,200
random,0.01,90,3963,3280,200
random,0.01,91,3974,3332,200
random,0.01,92,3984,3294,200
random,0.01,93,3990,3231,200
random,0.01,94,3988,3235,200
random,0.01,95,3950,3042,200
random,0.01,96,3982,3251,200
random,0.01,97,3972,3163,200
random,0.01,98,3973,3152,200
random,0.01,99,3915,2934,200
random,0.01,100,3955,3099,200
random,0.01,101,3974,3309,200
random,0.01,102,3955,3181,200
random,0.01,103,3961,3139,200
random,0.01,104,3963,3086,200
random,0.01,105,3963,3288,200
random,0.01,106,3924,3282,200
random,0.01,107,3979,3024,200
random,0.01,108,3944,3157,200
random,0.01,109,3965,3261,200
random,0.01,110,3979,3227,200
random,0.01,111,3978,3062,200
random,0.01,112,3976,3255,200
random,0.01,113,3974,3224,200
random,0.01,114,3955,3207,200
random,0.01,115,3957,3085,200
random,0.01,116,3984,3084,200
random,0.01,117,3971,3275,200
random,0.01,118,3970,3285,200
random,0.01,119,3916,3149,200
random,0.01,120,3948,3208,200
random,0.01,121,3984,3191,200
random,0.01,122,3969,3214,200
random,0.01,123,3960,3261,200
random,0.01,124,3974,3317,200
random,0.01,125,3956,3137,200
random,0.01,126,3924,3178,200
random,0.01,127,3976,3291,200
random,0.01,128,3984,3123,200
random,0.01,129,3928,3245,200
random,0.01,130,3943,3157,200
random,0.01,131,3981,3295,200
random,0.01,132,3970,3100,200
random,0.01,133,3986,3332,200
random,0.01,134,3948,3193,200
random,0.01,135,3930,3207,200
random,0.01,136,3983,3252,200
random,0.01,137,3966,3216,200
random,0.01,138,3957,3142,200
random,0.01,139,3918,3163,200
random,0.01,140,3969,3267,200
random,0.01,141,3978,3179,200
random,0.01,142,3977,3159,200
random,0.01,143,3981,3251,200
random,0.01,144,3903,3132,200
random,0.01,145,3996,3322,200
random,0.01,146,3973,3174,200
random,0.01,147,3986,3063,200
random,0.01,148,3968,3182,200
random,0.01,149,3917,3198,200
random,0.01,150,3939,3219,200
random,0.01,151,3985,3274,200
random,0.01,152,3982,3283,200
random,0.01,153,3963,3154,200
random,0.01,154,3982,3231,200
random,0.01,155,3983,3259,200
random,0.01,156,3985,3220,200
random,0.01,157,3899,3166,200
random,0.01,158,3954,3313,200
random,0.01,159,3967,3140,200
random,0.01,160,3984,3236,200
random,0.01,161,3982,3252,200
random,0.01,162,3987,3252,200
random,0.01,163,3973,3341,200
random,0.01,164,3914,3138,200
random,0.01,165,3986,3222,200
random,0.01,166,3976,3239,200
random,0.01,167,3974,3283,200
random,0.01,168,3977,3272,200
random,0.01,169,3993,3279,200
random,0.01,170,3959,3111,200
random,0.01,171,3937,3218,200
random,0.01,172,3986,3223,200
random,0.01,173,3956,3202,200
random,0.01,174,3953,3168,200
random,0.01,175,3984,3297,200
random,0.01,176,3954,3056,200
random,0.01,177,3973,3280,200
random,0.01,178,3941,3136,200
random,0.01,179,3977,3155,200
random,0.01,180,3984,3349,200
random,0.01,181,3970,3215,200
random,0.01,182,3975,3239,200
random,0.01,183,3970,3146,200
random,0.01,184,3893,3245,200
random,0.01,185,3917,3001,200
random,0.01,186,3986,3281,200
random,0.01,187,3995,3194,200
random,0.01,188,3948,3129,200
random,0.01,189,3990,3118,200
random,0.01,190,3916,3297,200
random,0.01,191,3934,3197,200
random,0.01,192,3977,3050,200
random,0.01,193,3959,3285,200
random,0.01,194,3976,3106,200
random,0.01,195,3964,3111,200
random,0.01,196,3987,3156,200
random,0.01,197,3973,3130,200
random,0.01,198,3912,3235,200
random,0.01,199,3989,3160,200
random,0.01,200,3963,3301,200
random,0.01,201,3980,3286,200
random,0.01,202,3938,3090,200
random,0.01,203,3985,3228,200
random,0.01,204,3965,3256,200
random,0.01,205,3963,2982,200
random,0.01,206,3969,3266,200
random,0.01,207,3950,3096,200
random,0.01,208,3983,3359,200
random,0.01,209,3975,3147,200
random,0.01,210,3957,3211,200
random,0.01,211,3965,3283,200
random,0.01,212,3960,3095,200
random,0.01,213,3947,3106,200
random,0.01,214,3988,3147,200
random,0.01,215,3998,3135,200
random,0.01,216,3957,3093,200
random,0.01,217,3960,3276,200
random,0.01,218,3954,3256,200
random,0.01,219,3953,3317,200
random,0.01,220,3961,3151,200
random,0.01,221,3949,3050,200
random,0.01,222,3976,3280,200
random,0.01,223,3988,3262,200
random,0.01,224,3950,3250,200
random,0.01,225,3776,3166,200
random,0.01,226,3967,3240,200
random,0.01,227,3984,3201,200
random,0.01,228,3981,3263,200
random,0.01,229,3938,3126,200
random,0.01,230,3978,3305,200
random,0.01,231,3911,3194,200
random,0.01,232,3967,3200,200
random,0.01,233,3980,3285,200
random,0.01,234,3971,3181,200
random,0.01,235,3963,3286,200
random,0.01,236,3985,3092,200
random,0.01,237,3962,3352,200
random,0.01,238,3980,3119,200
random,0.01,239,3981,3296,200
random,0.01,240,3948,3226,200
random,0.01,241,3977,3235,200
random,0.01,242,3965,3141,200
random,0.01,243,3949,3195,200
random,0.01,244,3984,3347,200
random,0.01,245,3997,3050,200
random,0.01,246,3948,3141,200
random,0.01,247,3985,3166,200
random,0.01,248,3890,3219,200
random,0.01,249,3941,3289,200
random,0.01,250,3902,3222,200
random,0.01,251,3989,3111,200
random,0.01,252,3973,3140,200
random,0.01,253,3981,3271,200
random,0.01,254,3993,3301,200
random,0.01,255,3971,3203,200
random,0.01,256,3947,3244,200
random,0.01,257,3976,3176,200
random,0.01,258,3980,3169,200
random,0.01,259,3968,3245,200
random,0.01,260,3985,3247,200
random,0.01,261,3982,3349,200
random,0.01,262,3964,3204,200
random,0.01,263,3985,3277,200
random,0.01,264,3983,3187,200
random,0.01,265,3982,3208,200
random,0.01,266,3975,3237,200
random,0.01,267,3974,3198,200
random,0.01,268,3987,3256,200
random,0.01,269,3988,3155,200
random,0.01,270,3989,3242,200
random,0.01,271,3986,3258,200
random,0.01,272,3962,3192,200
random,0.01,273,3954,3185,200
random,0.01,274,3980,3290,200
random,0.01,275,3985,3107,200
random,0.01,276,3957,3127,200
random,0.01,277,3974,3116,200
random,0.01,278,3986,3266,200
random,0.01,279,3988,3206,200
random,0.01,280,3946,3181,200
random,0.01,281,3955,3016,200
random,0.01,282,3984,3307,200
random,0.01,283,3984,3142,200
random,0.01,284,3960,3136,200
random,0.01,285,3989,3330,200
random,0.01,286,3954,3276,200
random,0.01,287,3991,3273,200
random,0.01,288,3973,3216,200
random,0.01,289,3964,3121,200
random,0.01,290,3952,3290,200
random,0.01,291,3894,3081,200
random,0.01,292,3992,3246,200
random,0.01,293,3962,3161,200
random,0.01,294,3971,3160,200
random,0.01,295,3993,3145,200
random,0.01,296,3978,3234,200
random,0.01,297,3981,3157,200
random,0.01,298,3990,3266,200
random,0.01,299,3986,3282,200
random,0.01,300,3964,3140,200
random,0.01,301,3886,3237,200
random,0.01,302,3932,3163,200
random,0.01,303,3971,3172,200
random,0.01,304,3942,3183,200
random,0.01,305,3930,3121,200
random,0.01,306,3982,3262,200
random,0.01,307,3980,3273,200
random,0.01,308,3983,3171,200
random,0.01,309,3977,3087,200
random,0.01,310,3986,3215,200
random,0.01,311,3990,3335,200
random,0.01,312,3935,3237,200
random,0.01,313,3918,3264,200
random,0.01,314,3980,3151,200
random,0.01,315,3966,3136,200
random,0.01,316,3982,3048,200
random,0.01,317,3929,3150,200
random,0.01,318,3968,3204,200
random,0.01,319,3976,3135,200
random,0.01,320,3983,3292,200
random,0.01,321,3983,3083,200
random,0.01,322,3979,3328,200
random,0.01,323,3958,3061,200
random,0.01,324,3990,3176,200
random,0.01,325,3984,3172,200
random,0.01,326,3947,3151,200
random,0.01,327,3983,3323,200
random,0.01,328,3974,3124,200
random,0.01,329,3980,3294,200
random,0.01,330,3970,3258,200
random,0.01,331,3957,3159,200
random,0.01,332,3990,3179,200
random,0.01,333,3936,3201,200
random,0.01,334,3947,3163,200
random,0.01,335,3968,3120,200
random,0.01,336,3996,3279,200
random,0.01,337,3980,3229,200
random,0.01,338,3981,3080,200
random,0.01,339,3971,3239,200
random,0.01,340,3994,3249,200
random,0.01,341,3968,3104,200
random,0.01,342,3982,3203,200
random,0.01,343,3976,3214,200
random,0.01,344,3925,2995,200
random,0.01,345,3988,3151,200
random,0.01,346,3984,3126,200
random,0.01,347,3943,3059,200
random,0.01,348,3979,3227,200
random,0.01,349,3954,3223,200
random,0.01,350,3957,3251,200
random,0.01,351,3941,3000,200
random,0.01,352,3976,3310,200
random,0.01,353,3976,3250,200
random,0.01,354,3969,3251,200
random,0.01,355,3967,3195,200
random,0.01,356,3975,3311,200
random,0.01,357,3972,3173,200
random,0.01,358,3978,3172,200
random,0.01,359,3954,3201,200
random,0.01,360,3981,3276,200
random,0.01,361,3987,3270,200
random,0.01,362,3989,3129,200
random,0.01,363,3975,3216,200
random,0.01,364,3976,3272,200
random,0.01,365,3968,3237,200
random,0.01,366,3982,3373,200
random,0.01,367,3972,3304,200
random,0.01,368,3978,3216,200
random,0.01,369,3970,3068,200
random,0.01,370,3956,3171,200
random,0.01,371,3949,3256,200
random,0.01,372,3982,3338,200
random,0.01,373,3976,3323,200
random,0.01,374,3975,3126,200
random,0.01,375,3959,3252,200
random,0.01,376,3974,3275,200
random,0.01,377,3969,3299,200
random,0.01,378,3928,3257,200
random,0.01,379,3971,3021,200
random,0.01,380,3972,3267,200
random,0.01,381,3915,3228,200
random,0.01,382,3989,3247,200
random,0.01,383,3988,3174,200
random,0.01,384,3973,3270,200
random,0.01,385,3978,3304,200
random,0.01,386,3930,3146,200
random,0.01,387,3924,3223,200
random,0.01,388,3990,3212,200
random,0.01,389,3974,3219,200
random,0.01,390,3941,3076,200
random,0.01,391,3991,3294,200
random,0.01,392,3979,3281,200
random,0.01,393,3964,3188,200
random,0.01,394,3946,3325,200
random,0.01,395,3974,3070,200
random,0.01,396,3963,3132,200
random,0.01,397,3967,3260,200
random,0.01,398,3938,3154,200
random,0.01,399,3979,3215,200
random,0.01,400,3970,3287,200
random,0.01,401,3981,3214,200
random,0.01,402,3968,3297,200
random,0.01,403,3986,3266,200
random,0.01,404,3978,3260,200
random,0.01,405,3957,3205,200
random,0.01,406,3966,3213,200
random,0.01,407,3872,3046,200
random,0.01,408,3972,3021,200
random,0.01,409,3989,3215,200
random,0.01,410,3968,3183,200
random,0.01,411,3924,3205,200
random,0.01,412,3975,3040,200
random,0.01,413,3987,3307,200
random,0.01,414,3957,3133,200
random,0.01,415,3986,3291,200
random,0.01,416,3963,3216,200
random,0.01,417,3966,3270,200
random,0.01,418,3969,3292,200
random,0.01,419,3980,3253,200
random,0.01,420,3988,3126,200
random,0.01,421,3958,3128,200
random,0.01,422,3984,3262,200
random,0.01,423,3926,3235,200
random,0.01,424,3943,3321,200
random,0.01,425,3979,3321,200
random,0.01,426,3918,3196,200
random,0.01,427,3966,3101,200
random,0.01,428,3967,3136,200
random,0.01,429,3966,3120,200
random,0.01,430,3942,3258,200
random,0.01,431,3967,3235,200
random,0.01,432,3887,3025,200
random,0.01,433,3985,3281,200
random,0.01,434,3947,3241,200
random,0.01,435,3966,3145,200
random,0.01,436,3955,3216,200
random,0.01,437,3955,3132,200
random,0.01,438,3956,3117,200
random,0.01,439,3973,3294,200
random,0.01,440,3761,3113,200
random,0.01,441,3976,3227,200
random,0.01,442,3984,3240,200
random,0.01,443,3979,3154,200
random,0.01,444,3982,3048,200
random,0.01,445,3951,3288,200
random,0.01,446,3962,3138,200
random,0.01,447,3972,3134,200
random,0.01,448,3991,3208,200
random,0.01,449,3980,3170,200
random,0.01,450,3973,3141,200
random,0.01,451,3963,3285,200
random,0.01,452,3985,3143,200
random,0.01,453,3952,3137,200
random,0.01,454,3980,3226,200
random,0.01,455,3962,3054,200
random,0.01,456,3975,3235,200
random,0.01,457,3986,3278,200
random,0.01,458,3984,3197,200
