strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3976.23,27.77,3337.72,78.49,200.0,0.0
random,0.05,201,3802.17,37.97,3178.84,87.75,200.0,0.0
random,0.1,403,3578.09,75.68,2975.35,98.83,200.0,0.0
random,0.15,605,3364.95,94.05,2769.9,117.77,200.0,0.0
random,0.2,807,3132.17,100.99,2566.2,124.35,200.0,0.0
degree,0.01,40,3890.81,20.09,3084.93,81.34,200.0,0.0
degree,0.05,201,3713.28,22.22,2921.42,80.14,200.0,0.0
degree,0.1,403,3502.35,26.7,2689.25,85.54,200.0,0.0
degree,0.15,605,2993.46,208.52,2295.22,182.9,200.0,0.0
degree,0.2,807,2790.82,190.47,2127.73,159.57,200.0,0.0
betweenness,0.01,40,2937.5,507.54,2331.69,392.52,200.0,0.0
betweenness,0.05,201,2269.25,548.55,1748.32,415.5,200.0,0.0
betweenness,0.1,403,2046.63,509.77,1567.79,387.29,200.0,0.0
betweenness,0.15,605,1776.27,447.0,1403.12,358.79,200.0,0.0
betweenness,0.2,807,1596.58,412.58,1220.17,317.37,200.0,0.0
community_bridge,0.01,40,3924.66,50.12,3185.64,110.0,200.0,0.0
community_bridge,0.05,201,2884.67,550.52,2092.06,392.87,200.0,0.0
community_bridge,0.1,403,2264.32,502.5,1677.19,359.22,200.0,0.0
community_bridge,0.15,605,1662.63,401.5,1272.78,304.2,200.0,0.0
community_bridge,0.2,807,1469.31,375.39,1129.16,288.53,200.0,0.0
stratified,0.01,40,3838.99,17.3,3006.74,86.59,200.0,0.0
stratified,0.05,201,3470.24,72.54,2648.97,129.81,200.0,0.0
stratified,0.1,403,3265.85,88.69,2344.42,137.68,200.0,0.0
stratified,0.15,605,2851.3,215.24,2077.65,138.0,200.0,0.0
stratified,0.2,807,2313.03,413.58,1627.17,289.8,200.0,0.0
