strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3975.93,24.01,3345.79,79.61,200.0,0.0
random,0.05,201,3801.47,50.38,3175.29,91.17,200.0,0.0
random,0.1,403,3584.74,65.52,2979.5,96.98,200.0,0.0
random,0.15,605,3362.29,85.38,2780.5,106.35,200.0,0.0
random,0.2,807,3137.96,75.94,2559.21,121.13,200.0,0.0
degree,0.01,40,3890.4,21.72,3084.57,84.06,200.0,0.0
degree,0.05,201,3713.63,31.23,2918.06,81.97,200.0,0.0
degree,0.1,403,3502.63,28.57,2685.93,91.47,200.0,0.0
degree,0.15,605,2998.42,208.27,2307.55,178.05,200.0,0.0
degree,0.2,807,2799.0,190.26,2132.49,157.44,200.0,0.0
betweenness,0.01,40,2947.42,494.96,2352.47,386.14,200.0,0.0
betweenness,0.05,201,2259.77,538.76,1745.04,410.58,200.0,0.0
betweenness,0.1,403,2036.46,488.85,1557.16,377.56,200.0,0.0
betweenness,0.15,605,1766.45,448.28,1388.67,358.12,200.0,0.0
betweenness,0.2,807,1609.99,416.77,1228.29,323.11,200.0,0.0
community_bridge,0.01,40,3919.5,68.63,3186.71,120.42,200.0,0.0
community_bridge,0.05,201,2876.68,597.61,2111.79,444.67,200.0,0.0
community_bridge,0.1,403,2215.41,526.22,1642.42,368.81,200.0,0.0
community_bridge,0.15,605,1667.16,410.66,1269.0,298.65,200.0,0.0
community_bridge,0.2,807,1487.85,380.83,1147.77,290.24,200.0,0.0
stratified,0.01,40,3837.32,22.73,3005.18,84.22,200.0,0.0
stratified,0.05,201,3470.1,98.82,2658.72,136.87,200.0,0.0
stratified,0.1,403,3276.23,88.72,2360.67,136.71,200.0,0.0
stratified,0.15,605,2848.64,252.14,2071.13,163.94,200.0,0.0
stratified,0.2,807,2358.97,395.69,1650.47,275.83,200.0,0.0
