strategy,budget,gini_mean,gini_std,infection_rate_mean
random,0.01,0.0144,0.0163,0.9784
random,0.05,0.0274,0.0242,0.9321
random,0.1,0.0416,0.029,0.8742
random,0.15,0.0531,0.0359,0.8189
random,0.2,0.0686,0.0394,0.7593
degree,0.01,0.0237,0.0155,0.9664
degree,0.05,0.0627,0.0214,0.9226
degree,0.1,0.1057,0.0315,0.8756
degree,0.15,0.2694,0.0926,0.7028
degree,0.2,0.2955,0.0896,0.665
betweenness,0.01,0.3006,0.1382,0.6917
betweenness,0.05,0.4432,0.1499,0.5416
betweenness,0.1,0.4996,0.1364,0.4728
betweenness,0.15,0.5401,0.1174,0.4157
betweenness,0.2,0.5644,0.1248,0.3794
community_bridge,0.01,0.0233,0.0263,0.9671
community_bridge,0.05,0.3136,0.1558,0.6518
community_bridge,0.1,0.4773,0.1289,0.4744
community_bridge,0.15,0.6062,0.0998,0.3534
community_bridge,0.2,0.6717,0.09,0.2913
stratified,0.01,0.043,0.0218,0.9407
stratified,0.05,0.1303,0.0326,0.8183
stratified,0.1,0.1406,0.0452,0.7665
stratified,0.15,0.1791,0.0486,0.6873
stratified,0.2,0.3119,0.133,0.5396
