strategy,budget,gini_mean,gini_std,infection_rate_mean
random,0.01,0.0112,0.0145,0.9826
random,0.05,0.0249,0.0234,0.9357
random,0.1,0.037,0.0267,0.8798
random,0.15,0.0516,0.0345,0.8211
random,0.2,0.0618,0.0369,0.7671
degree,0.01,0.0196,0.0129,0.9721
degree,0.05,0.0575,0.0175,0.9301
degree,0.1,0.0974,0.0266,0.8863
degree,0.15,0.2634,0.0908,0.7111
degree,0.2,0.2946,0.0863,0.6691
betweenness,0.01,0.2897,0.1394,0.7034
betweenness,0.05,0.4252,0.1425,0.5605
betweenness,0.1,0.4832,0.1321,0.4881
betweenness,0.15,0.5416,0.1286,0.4156
betweenness,0.2,0.5644,0.1213,0.3804
community_bridge,0.01,0.0167,0.02,0.9753
community_bridge,0.05,0.2956,0.157,0.6713
community_bridge,0.1,0.4583,0.1265,0.4949
community_bridge,0.15,0.5994,0.0989,0.3606
community_bridge,0.2,0.6601,0.0828,0.3027
stratified,0.01,0.0364,0.0163,0.9488
stratified,0.05,0.1286,0.0269,0.8212
stratified,0.1,0.1304,0.0269,0.7769
stratified,0.15,0.1759,0.0549,0.6918
stratified,0.2,0.2994,0.1371,0.551
