strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,40,3967.75,23.45,3200.57,81.8,200.0,0.0
random,0.05,201,3791.52,40.94,3045.07,85.34,200.0,0.0
random,0.1,403,3570.49,69.33,2838.69,103.35,200.0,0.0
random,0.15,605,3347.77,86.56,2650.73,104.7,200.0,0.0
random,0.2,807,3128.51,84.06,2450.72,107.1,200.0,0.0
degree,0.01,40,3867.15,24.53,2933.01,88.14,200.0,0.0
degree,0.05,201,3688.68,30.22,2773.16,79.75,200.0,0.0
degree,0.1,403,3473.31,43.28,2532.89,99.49,200.0,0.0
degree,0.15,605,2974.08,205.46,2168.98,173.68,200.0,0.0
degree,0.2,807,2766.1,187.46,1989.54,155.16,200.0,0.0
betweenness,0.01,40,2901.62,509.35,2232.63,382.21,200.0,0.0
betweenness,0.05,201,2256.91,521.24,1680.7,390.39,200.0,0.0
betweenness,0.1,403,2017.33,500.26,1476.56,371.55,200.0,0.0
betweenness,0.15,605,1749.4,452.68,1306.11,349.51,200.0,0.0
betweenness,0.2,807,1623.23,410.14,1167.78,298.31,200.0,0.0
