strategy,budget,gini_mean,gini_std,infection_rate_mean,n_runs
random,0.01,0.0112,0.0033,0.9765,500
random,0.05,0.0185,0.0056,0.9322,500
random,0.1,0.0258,0.0073,0.8773,500
random,0.15,0.0341,0.0097,0.8212,500
random,0.2,0.0419,0.011,0.7665,500
degree,0.01,0.0258,0.0041,0.9669,500
degree,0.05,0.0763,0.0411,0.8683,500
degree,0.1,0.1277,0.0084,0.76,500
degree,0.15,0.1735,0.0092,0.6701,500
degree,0.2,0.2594,0.0569,0.5513,500
betweenness_approx,0.01,0.068,0.0066,0.8949,500
betweenness_approx,0.05,0.1908,0.0064,0.7121,500
betweenness_approx,0.1,0.2631,0.0102,0.5903,500
betweenness_approx,0.15,0.3635,0.0563,0.4553,500
betweenness_approx,0.2,0.535,0.0745,0.2789,500
community_bridge,0.01,0.0341,0.0075,0.953,500
community_bridge,0.05,0.1126,0.0393,0.8353,500
community_bridge,0.1,0.2061,0.0123,0.7045,500
community_bridge,0.15,0.3889,0.0564,0.4989,500
community_bridge,0.2,0.6829,0.0556,0.2481,500
