strategy,budget,immunized_count,total_infected_mean,total_infected_std,peak_infected_mean,peak_infected_std,duration_mean,duration_std
random,0.01,813,79439.53,86.58,66713.78,134.27,200.0,0.0
random,0.05,4065,75952.12,110.44,63587.03,139.71,200.0,0.0
random,0.1,8130,71605.61,132.18,59706.32,150.96,200.0,0.0
random,0.15,12195,67238.2,146.93,55835.82,164.63,200.0,0.0
random,0.2,16261,62897.87,153.87,51997.35,175.58,200.0,0.0
degree,0.01,813,78446.23,100.14,64807.11,144.46,200.0,0.0
degree,0.05,4065,68227.85,3054.94,53986.48,2421.08,199.88,2.59
degree,0.1,8130,60956.12,109.82,46036.82,199.82,200.0,0.0
degree,0.15,12195,54282.78,125.32,38252.85,250.62,200.0,0.0
degree,0.2,16261,46036.27,3610.92,29404.45,2302.38,200.0,0.0
betweenness_approx,0.01,813,75031.4,78.32,61115.7,143.92,200.0,0.0
betweenness_approx,0.05,4065,65039.23,105.53,49859.23,225.57,200.0,0.0
betweenness_approx,0.1,8130,56392.42,178.95,40055.76,352.39,200.0,0.0
betweenness_approx,0.15,12195,47024.52,4220.23,30072.27,2731.79,199.86,3.22
betweenness_approx,0.2,16261,34907.48,5730.47,19328.4,3286.28,200.0,0.0
community_bridge,0.01,813,77507.3,94.52,63628.73,147.46,200.0,0.0
community_bridge,0.05,4065,67940.51,3042.42,52650.89,2369.59,200.0,0.0
community_bridge,0.1,8130,58598.85,201.15,40440.63,587.17,200.0,0.0
community_bridge,0.15,12195,47784.19,4338.7,28010.6,2787.43,200.0,0.0
community_bridge,0.2,16261,32024.84,5615.93,16965.24,3160.89,200.0,0.0
